Date,Cons,Irradiacao,PV_Out,Surplus
2018-06-24 15:00:00,17.8125,0.586,360.49108499999994,342.67858499999994
2018-06-24 16:00:00,18.125,0.497,305.7407324999999,287.6157324999999
2018-06-24 17:00:00,18.020833333333332,0.369,226.9986525,208.97781916666665
2018-06-24 18:00:00,18.020833333333332,0.083,51.059317500000006,33.03848416666668
2018-06-24 19:00:00,17.65625,0.0,0.0,-17.65625
2018-06-24 20:00:00,17.239583333333332,0.0,0.0,-17.239583333333332
2018-06-24 21:00:00,16.979166666666668,0.0,0.0,-16.979166666666668
2018-06-24 22:00:00,17.34375,0.0,0.0,-17.34375
2018-06-24 23:00:00,17.395833333333332,0.0,0.0,-17.395833333333332
2018-06-25 00:00:00,17.291666666666668,0.0,0.0,-17.291666666666668
2018-06-25 01:00:00,16.666666666666668,0.0,0.0,-16.666666666666668
2018-06-25 02:00:00,16.302083333333332,0.0,0.0,-16.302083333333332
2018-06-25 03:00:00,16.197916666666668,0.0,0.0,-16.197916666666668
2018-06-25 04:00:00,16.041666666666668,0.045,27.6827625,11.641095833333331
2018-06-25 05:00:00,16.25,0.305,187.62761249999997,171.37761249999997
2018-06-25 06:00:00,16.822916666666668,0.418,257.14210499999996,240.3191883333333
2018-06-25 07:00:00,26.770833333333332,0.489,300.8193525,274.04851916666667
2018-06-25 08:00:00,35.625,0.546,335.884185,300.259185
2018-06-25 09:00:00,40.260416666666664,0.595,366.02763749999997,325.7672208333333
2018-06-25 10:00:00,47.03125,0.642,394.940745,347.909495
2018-06-25 11:00:00,48.90625,0.67,412.16557500000005,363.25932500000005
2018-06-25 12:00:00,49.583333333333336,0.671,412.78074749999996,363.19741416666665
2018-06-25 13:00:00,49.166666666666664,0.667,410.32005749999996,361.1533908333333
2018-06-25 14:00:00,51.927083333333336,0.637,391.86488249999996,339.93779916666665
2018-06-25 15:00:00,53.385416666666664,0.586,360.49108499999994,307.10566833333326
2018-06-25 16:00:00,52.916666666666664,0.497,305.7407324999999,252.82406583333326
2018-06-25 17:00:00,49.0625,0.369,226.9986525,177.9361525
2018-06-25 18:00:00,41.71875,0.083,51.059317500000006,9.340567500000006
2018-06-25 19:00:00,32.708333333333336,0.0,0.0,-32.708333333333336
2018-06-25 20:00:00,24.947916666666668,0.0,0.0,-24.947916666666668
2018-06-25 21:00:00,21.770833333333332,0.0,0.0,-21.770833333333332
2018-06-25 22:00:00,20.0,0.0,0.0,-20.0
2018-06-25 23:00:00,19.322916666666668,0.0,0.0,-19.322916666666668
2018-06-26 00:00:00,18.75,0.0,0.0,-18.75
2018-06-26 01:00:00,18.125,0.0,0.0,-18.125
2018-06-26 02:00:00,17.96875,0.0,0.0,-17.96875
2018-06-26 03:00:00,18.020833333333332,0.0,0.0,-18.020833333333332
2018-06-26 04:00:00,17.8125,0.045,27.6827625,9.870262499999999
2018-06-26 05:00:00,18.125,0.305,187.62761249999997,169.50261249999997
2018-06-26 06:00:00,18.28125,0.418,257.14210499999996,238.86085499999996
2018-06-26 07:00:00,27.96875,0.489,300.8193525,272.8506025
2018-06-26 08:00:00,35.625,0.546,335.884185,300.259185
2018-06-26 09:00:00,41.510416666666664,0.595,366.02763749999997,324.5172208333333
2018-06-26 10:00:00,46.614583333333336,0.642,394.940745,348.3261616666667
2018-06-26 11:00:00,49.0625,0.67,412.16557500000005,363.10307500000005
2018-06-26 12:00:00,48.75,0.671,412.78074749999996,364.03074749999996
2018-06-26 13:00:00,48.385416666666664,0.667,410.32005749999996,361.9346408333333
2018-06-26 14:00:00,50.416666666666664,0.637,391.86488249999996,341.4482158333333
2018-06-26 15:00:00,51.302083333333336,0.586,360.49108499999994,309.1890016666666
2018-06-26 16:00:00,50.729166666666664,0.497,305.7407324999999,255.01156583333326
2018-06-26 17:00:00,47.291666666666664,0.369,226.9986525,179.70698583333333
2018-06-26 18:00:00,41.458333333333336,0.083,51.059317500000006,9.60098416666667
2018-06-26 19:00:00,32.1875,0.0,0.0,-32.1875
2018-06-26 20:00:00,25.833333333333332,0.0,0.0,-25.833333333333332
2018-06-26 21:00:00,22.239583333333332,0.0,0.0,-22.239583333333332
2018-06-26 22:00:00,20.625,0.0,0.0,-20.625
2018-06-26 23:00:00,19.53125,0.0,0.0,-19.53125
2018-06-27 00:00:00,18.75,0.0,0.0,-18.75
2018-06-27 01:00:00,18.385416666666668,0.0,0.0,-18.385416666666668
2018-06-27 02:00:00,17.96875,0.0,0.0,-17.96875
2018-06-27 03:00:00,17.604166666666668,0.0,0.0,-17.604166666666668
2018-06-27 04:00:00,17.395833333333332,0.045,27.6827625,10.286929166666667
2018-06-27 05:00:00,17.708333333333332,0.305,187.62761249999997,169.91927916666663
2018-06-27 06:00:00,18.020833333333332,0.418,257.14210499999996,239.12127166666662
2018-06-27 07:00:00,27.1875,0.489,300.8193525,273.6318525
2018-06-27 08:00:00,35.0,0.546,335.884185,300.884185
2018-06-27 09:00:00,39.947916666666664,0.595,366.02763749999997,326.0797208333333
2018-06-27 10:00:00,45.46875,0.642,394.940745,349.471995
2018-06-27 11:00:00,49.010416666666664,0.67,412.16557500000005,363.15515833333336
2018-06-27 12:00:00,48.854166666666664,0.671,412.78074749999996,363.9265808333333
2018-06-27 13:00:00,48.75,0.667,410.32005749999996,361.57005749999996
2018-06-27 14:00:00,49.895833333333336,0.637,391.86488249999996,341.96904916666665
2018-06-27 15:00:00,51.510416666666664,0.586,360.49108499999994,308.98066833333326
2018-06-27 16:00:00,51.041666666666664,0.497,305.7407324999999,254.69906583333326
2018-06-27 17:00:00,47.552083333333336,0.369,226.9986525,179.44656916666665
2018-06-27 18:00:00,42.239583333333336,0.083,51.059317500000006,8.81973416666667
2018-06-27 19:00:00,33.125,0.0,0.0,-33.125
2018-06-27 20:00:00,25.520833333333332,0.0,0.0,-25.520833333333332
2018-06-27 21:00:00,22.916666666666668,0.0,0.0,-22.916666666666668
2018-06-27 22:00:00,20.833333333333332,0.0,0.0,-20.833333333333332
2018-06-27 23:00:00,20.0,0.0,0.0,-20.0
2018-06-28 00:00:00,18.802083333333332,0.0,0.0,-18.802083333333332
2018-06-28 01:00:00,18.333333333333332,0.0,0.0,-18.333333333333332
2018-06-28 02:00:00,18.28125,0.0,0.0,-18.28125
2018-06-28 03:00:00,17.96875,0.0,0.0,-17.96875
2018-06-28 04:00:00,17.8125,0.045,27.6827625,9.870262499999999
2018-06-28 05:00:00,17.864583333333332,0.305,187.62761249999997,169.76302916666663
2018-06-28 06:00:00,18.541666666666668,0.418,257.14210499999996,238.6004383333333
2018-06-28 07:00:00,27.916666666666668,0.489,300.8193525,272.9026858333333
2018-06-28 08:00:00,35.416666666666664,0.546,335.884185,300.4675183333333
2018-06-28 09:00:00,40.052083333333336,0.595,366.02763749999997,325.97555416666665
2018-06-28 10:00:00,44.427083333333336,0.642,394.940745,350.5136616666667
2018-06-28 11:00:00,47.447916666666664,0.67,412.16557500000005,364.71765833333336
2018-06-28 12:00:00,47.447916666666664,0.671,412.78074749999996,365.3328308333333
2018-06-28 13:00:00,47.083333333333336,0.667,410.32005749999996,363.23672416666665
2018-06-28 14:00:00,48.28125,0.637,391.86488249999996,343.58363249999996
2018-06-28 15:00:00,50.3125,0.586,360.49108499999994,310.17858499999994
2018-06-28 16:00:00,49.6875,0.497,305.7407324999999,256.0532324999999
2018-06-28 17:00:00,47.1875,0.369,226.9986525,179.8111525
2018-06-28 18:00:00,41.302083333333336,0.083,51.059317500000006,9.75723416666667
2018-06-28 19:00:00,33.020833333333336,0.0,0.0,-33.020833333333336
2018-06-28 20:00:00,25.989583333333332,0.0,0.0,-25.989583333333332
2018-06-28 21:00:00,22.239583333333332,0.0,0.0,-22.239583333333332
2018-06-28 22:00:00,20.3125,0.0,0.0,-20.3125
2018-06-28 23:00:00,19.895833333333332,0.0,0.0,-19.895833333333332
2018-06-29 00:00:00,18.802083333333332,0.0,0.0,-18.802083333333332
2018-06-29 01:00:00,18.28125,0.0,0.0,-18.28125
2018-06-29 02:00:00,17.8125,0.0,0.0,-17.8125
2018-06-29 03:00:00,17.5,0.0,0.0,-17.5
2018-06-29 04:00:00,17.239583333333332,0.045,27.6827625,10.443179166666667
2018-06-29 05:00:00,17.1875,0.305,187.62761249999997,170.44011249999997
2018-06-29 06:00:00,18.177083333333332,0.418,257.14210499999996,238.96502166666662
2018-06-29 07:00:00,26.666666666666668,0.489,300.8193525,274.1526858333333
2018-06-29 08:00:00,33.125,0.546,335.884185,302.759185
2018-06-29 09:00:00,37.96875,0.595,366.02763749999997,328.05888749999997
2018-06-29 10:00:00,43.229166666666664,0.642,394.940745,351.7115783333333
2018-06-29 11:00:00,45.572916666666664,0.67,412.16557500000005,366.59265833333336
2018-06-29 12:00:00,44.84375,0.671,412.78074749999996,367.93699749999996
2018-06-29 13:00:00,45.104166666666664,0.667,410.32005749999996,365.2158908333333
2018-06-29 14:00:00,46.5625,0.637,391.86488249999996,345.30238249999996
2018-06-29 15:00:00,47.447916666666664,0.586,360.49108499999994,313.04316833333326
2018-06-29 16:00:00,46.770833333333336,0.497,305.7407324999999,258.9698991666666
2018-06-29 17:00:00,43.489583333333336,0.369,226.9986525,183.50906916666665
2018-06-29 18:00:00,38.072916666666664,0.083,51.059317500000006,12.986400833333342
2018-06-29 19:00:00,31.510416666666668,0.0,0.0,-31.510416666666668
2018-06-29 20:00:00,25.15625,0.0,0.0,-25.15625
2018-06-29 21:00:00,21.822916666666668,0.0,0.0,-21.822916666666668
2018-06-29 22:00:00,19.635416666666668,0.0,0.0,-19.635416666666668
2018-06-29 23:00:00,18.958333333333332,0.0,0.0,-18.958333333333332
2018-06-30 00:00:00,18.28125,0.0,0.0,-18.28125
2018-06-30 01:00:00,18.177083333333332,0.0,0.0,-18.177083333333332
2018-06-30 02:00:00,17.96875,0.0,0.0,-17.96875
2018-06-30 03:00:00,17.604166666666668,0.0,0.0,-17.604166666666668
2018-06-30 04:00:00,17.604166666666668,0.045,27.6827625,10.078595833333331
2018-06-30 05:00:00,17.291666666666668,0.305,187.62761249999997,170.3359458333333
2018-06-30 06:00:00,16.71875,0.418,257.14210499999996,240.42335499999996
2018-06-30 07:00:00,21.510416666666668,0.489,300.8193525,279.3089358333333
2018-06-30 08:00:00,22.864583333333332,0.546,335.884185,313.0196016666667
2018-06-30 09:00:00,22.604166666666668,0.595,366.02763749999997,343.4234708333333
2018-06-30 10:00:00,23.958333333333332,0.642,394.940745,370.9824116666667
2018-06-30 11:00:00,23.90625,0.67,412.16557500000005,388.25932500000005
2018-06-30 12:00:00,24.84375,0.671,412.78074749999996,387.93699749999996
2018-06-30 13:00:00,24.53125,0.667,410.32005749999996,385.78880749999996
2018-06-30 14:00:00,23.854166666666668,0.637,391.86488249999996,368.0107158333333
2018-06-30 15:00:00,22.916666666666668,0.586,360.49108499999994,337.57441833333326
2018-06-30 16:00:00,22.03125,0.497,305.7407324999999,283.7094824999999
2018-06-30 17:00:00,21.770833333333332,0.369,226.9986525,205.22781916666665
2018-06-30 18:00:00,21.09375,0.083,51.059317500000006,29.965567500000006
2018-06-30 19:00:00,18.958333333333332,0.0,0.0,-18.958333333333332
2018-06-30 20:00:00,18.854166666666668,0.0,0.0,-18.854166666666668
2018-06-30 21:00:00,18.333333333333332,0.0,0.0,-18.333333333333332
2018-06-30 22:00:00,17.96875,0.0,0.0,-17.96875
2018-06-30 23:00:00,18.177083333333332,0.0,0.0,-18.177083333333332
2018-07-01 00:00:00,18.177083333333332,0.0,0.0,-18.177083333333332
2018-07-01 01:00:00,18.072916666666668,0.0,0.0,-18.072916666666668
2018-07-01 02:00:00,17.65625,0.0,0.0,-17.65625
2018-07-01 03:00:00,16.979166666666668,0.0,0.0,-16.979166666666668
2018-07-01 04:00:00,17.03125,0.0,0.0,-17.03125
2018-07-01 05:00:00,16.666666666666668,0.286,175.93933499999997,159.2726683333333
